_id,article_link_list,article_mall,article_referrals,article_date_full,article_price,article_worthy,data_from,article_is_sold_out,article_id,article_channel,article_tese_tags,article_comment,article_unworthy,article_author,article_item_title_mode,article_stock_note,taobao_url,timesort,top_category,create_date,article_link_name,article_channel_url,article_link,article_category,category_layer,gtm,link_nofollow,article_mall_url,article_is_timeout,article_channel_class,article_url,article_channel_id,article_channel_note,article_date,article_title,article_collection,article_link_domain,price,action
6251579,?,美国亚马逊,这个ID没人注册,2016-07-18 13:11:00,$599.99（约￥4070）,1203,api,0,6251579,海淘,?,319,958,361,0,?,?,146881871407,电脑数码,2017-02-07 10:50:40,?,http://haitao.smzdm.com/,http://go.smzdm.com/b8f4b1845c007841/ca_aa_ht_163_6251579_361_249_179,?,?,?,rel= nofollow,http://www.smzdm.com/mall/amazon/,0,z-tag-haitao,http://www.smzdm.com/p/6251579/,3,?,2016-07-18 13:11,历史新低：SONY 索尼 DPTS1 13.3英寸 E-Ink电子书阅读器,380,amazon.com,4070,buy
6250603,?,京东,qtl123,2016-07-18 09:39:00,满100减10、满200减20、满600减40、满1000-70,497,api,0,6250603,国内,?,220,89,731,0,?,?,146880596216,电脑数码,2017-02-07 10:50:44,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/3cdf0a7e0dd45b7f/ca_aa_yh_163_6250603_731_0_0,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6250603/,3,?,2016-07-18 09:39,今日必领：京东 全品类优惠券,589,jd.com,100,buy
6250500,?,京东,xffsfy,2016-07-18 08:06:00,满200减15,261,api,0,6250500,国内,?,147,29,731,0,?,?,146880037183,电脑数码,2017-02-07 10:50:46,全品类优惠券,http://www.smzdm.com/youhui/,http://go.smzdm.com/5d77d255c5db9914/ca_aa_yh_163_6250500_731_0_0,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6250500/,3,?,2016-07-18 08:06,今日必领：京东 全品类优惠券,163,jd.com,200,buy
6240493,?,京东,酸奶太酸,2016-07-14 08:08:00,49元包邮（99-50）,19,api,0,6240493,国内,?,28,15,403,0,?,?,146845488057,食品保健,2017-02-07 10:51:43,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/b75972e805a8a086/ca_aa_yh_95_6240493_403_25571_1635,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6240493/,3,?,2016-07-14 08:08,SAN CARLO 圣卡罗 薄荷红椒风味薯片 150g*10袋,12,jd.com,49,buy
6239989,?,日本亚马逊,ys929,2016-07-13 21:58:00,5246日元（约￥425）,366,api,0,6239989,海淘,?,118,21,213,0,?,?,146841828318,玩模乐器,2017-02-07 10:51:45,?,http://haitao.smzdm.com/,http://go.smzdm.com/f5670c3b0073a845/ca_aa_ht_93_6239989_213_0_999,?,?,?,rel= nofollow,http://www.smzdm.com/mall/amazon_jp/,0,z-tag-haitao,http://www.smzdm.com/p/6239989/,3,?,2016-07-13 21:58,Genco 在地下城寻求邂逅是否搞错了什么  赫斯缇雅1/8手办,58,amazon.co.jp,425,buy
6229350,?,日本亚马逊,滋补滋磁,2016-07-10 18:00:00,1200日元,141,api,0,6229350,海淘,?,121,16,403,0,?,?,146814481145,玩模乐器,2017-02-07 10:52:45,?,http://haitao.smzdm.com/,http://go.smzdm.com/129106b92f9cb08b/ca_aa_ht_93_6229350_403_0_999,?,?,?,rel= nofollow,http://www.smzdm.com/mall/amazon_jp/,0,z-tag-haitao,http://www.smzdm.com/p/6229350/,3,?,2016-07-10 18:00,白色相簿2 小木曽雪菜 黏土人,27,amazon.co.jp,1200,view
6218861,?,京东,?,2016-07-07 10:30:00,88元（需用券）,593,api,0,6218861,国内,?,328,50,782,0,?,?,146785863008,电脑数码,2017-02-07 10:53:19,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/76e4818392fcb95e/ca_aa_yh_163_6218861_782_36062_169,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6218861/,3,?,2016-07-07 10:30,更新：又有券了：HOSION 恒思安X8 微型摄像机 黑色 标配(不带卡),679,jd.com,88,buy
6220308,?,京东,阿万,2016-07-06 22:33:00,34.9元,350,api,0,6220308,国内,?,210,49,790,0,?,?,146781562222,食品保健,2017-02-07 10:53:23,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/19c2b8d815a12d38/ca_aa_yh_95_6220308_790_47_101,?,?,?,rel= nofollow,http://www.smzdm.com/mall/jd/,0,z-tag-guonei,http://www.smzdm.com/p/6220308/,3,?,2016-07-06 22:33,历史新低：JIANLIBAO 健力宝 运动荔枝味 330ml*24罐,73,jd.com,34.9,buy
6218260,?,穷游网,?,2016-07-06 12:30:00,1299元,62,api,0,6218260,国内,?,15,8,707,0,?,?,146777940847,金融旅游,2017-02-07 10:53:29,特价机票,http://www.smzdm.com/youhui/,http://go.smzdm.com/029474e05c2e2c93/ca_aa_yh_1523_6218260_707_0_4811,?,?,?,rel= nofollow,http://www.smzdm.com/mall/zqyer/,0,z-tag-guonei,http://www.smzdm.com/p/6218260/,3,?,2016-07-06 12:30,特价机票：上海-日本 阪进东出/东进坂出 6天往返含税机票,26,qyer.com,1299,view
6217656,?,亚马逊中国,幽冥术士,2016-07-06 09:10:00,999元包邮（双重优惠后）,80,api,0,6217656,国内,?,86,56,159,0,?,?,146776741072,母婴用品,2017-02-07 10:53:37,?,http://www.smzdm.com/youhui/,http://go.smzdm.com/de727bce95646518/ca_aa_yh_75_6217656_159_581_83,?,?,?,rel= nofollow,http://www.smzdm.com/mall/amazon_cn/,0,z-tag-guonei,http://www.smzdm.com/p/6217656/,3,?,2016-07-06 09:10,AVENT 新安怡 SCF334/02 双边电动吸奶器,40,amazon.cn,999,dislike
